Ids,Predictions
1,-0.3757
2,-0.47766
3,-0.57434
4,-0.91493
5,-1.0782
6,-0.15605
7,0.17421
8,-0.49312
9,-0.63697
10,-1.7501
11,-0.82077
12,-2.3931
13,-1.1991
14,-1.682
15,-1.4876
16,-1.9425
17,-0.45254
18,-1.6537
19,-1.9457
20,-1.0851
21,-1.1653
22,-1.2775
23,-0.72917
24,-1.4842
25,-1.0299
26,-1.3494
27,-1.7685
28,-1.184
29,-1.6889
30,-0.49809
31,-0.44666
32,-0.65315
33,-1.6774
34,-1.5296
35,-0.96407
36,-1.4053
37,-0.75156
38,-1.1097
39,-0.93688
40,-1.6009
41,-0.31155
42,-0.90477
43,-0.79992
44,-1.1447
45,-1.1093
46,-1.119
47,-1.3587
48,-0.51965
49,-1.4883
50,-0.0078775
51,-1.5887
52,-2.0052
53,-1.7546
54,-1.2948
55,-0.93238
56,-0.42402
57,-1.3437
58,-0.29811
59,-0.18884
60,-1.6067
61,-0.80901
62,-1.0163
63,-0.21257
64,-1.3485
65,-0.29805
66,-0.43848
67,-2.0696
68,-1.0811
69,-0.85687
70,-1.3784
71,-1.368
72,-0.43531
73,-1.5005
74,-2.0079
75,-1.2782
76,-1.2106
77,-1.5041
78,-0.41688
79,-2.3477
80,-0.70789
81,-1.4235
82,-1.2936
83,-1.6243
84,-1.5106
85,-1.8004
86,-2.0123
87,-1.3512
88,-1.8251
89,-2.2896
90,-1.9918
91,-0.86661
92,-2.1381
93,-0.72507
94,-1.6183
95,-1.5751
96,-0.57875
97,-2.0074
98,-1.3118
99,-0.9139
100,-1.227
101,-0.72483
102,-1.1246
103,-0.86677
104,-0.47069
105,-1.1313
106,-1.0969
107,1.1972
108,-1.9292
109,-0.81143
110,-2.1834
111,-1.3147
112,-1.8578
113,-0.36516
114,-0.24568
115,-1.0252
116,-1.3105
117,-1.331
118,0.75249
119,-0.87767
120,-1.5498
121,-1.8401
122,-2.1314
123,0.11933
124,-1.8499
125,-1.9885
126,0.43789
127,-1.3809
128,-0.19081
129,-0.13299
130,-2.1511
131,-2.1312
132,-2.0349
133,-2.3866
134,-1.3567
135,-0.93677
136,-0.94449
137,-1.8633
138,-1.3199
139,-2.1715
140,-1.4951
141,-1.5459
142,-1.358
143,-1.2237
144,-1.3816
145,-1.4676
146,-1.7497
147,-2.0376
148,-1.0675
149,-0.86406
150,-1.711
151,-1.667
152,-1.2247
153,-1.5478
154,-1.0386
155,-1.9796
156,-2.3417
157,-0.63583
158,-0.68037
159,-2.0465
160,-1.5656
161,-1.3558
162,-0.67583
163,-0.63665
164,-1.607
165,-1.7432
166,-2.1264
167,-2.0407
168,-1.859
169,-2.3928
170,-1.8135
171,-2.2191
172,-1.2047
173,-1.2343
174,-1.1526
175,-0.24318
176,-1.9371
177,-1.8811
178,-1.6366
179,-1.2337
180,-0.71609
181,-1.4881
182,-1.2662
183,-1.6476
184,-1.6006
185,-1.4876
186,-1.1679
187,-1.3129
188,-1.376
189,-1.7693
190,-0.6167
191,-1.9805
192,-1.6234
193,-2.0284
194,-0.35723
195,-2.1555
196,-1.8835
197,-0.27538
198,-1.3075
199,-1.9864
200,-2.3202
201,-1.7004
202,-1.431
203,-1.2543
204,-1.7499
205,-2.1477
206,-1.6564
207,-1.4622
208,-1.6028
209,-1.2224
210,-0.73239
211,-1.7025
212,-2.6138
213,-0.2271
214,-1.5271
215,-1.7282
216,-1.5096
217,-2.3856
218,-2.0396
219,-1.4872
220,-1.5864
221,-0.97649
222,-1.0787
223,-1.9317
224,-1.0631
225,0.0162
226,-0.62034
227,-0.48133
